Username,ID,Post Title,Post Date,Post Link
Anastasiya-Romanova 秀,133248,How to explain this geometry problem to an 8th grader?,26-01-2017 08:04,https://math.stackexchange.com/questions/2114690/how-to-explain-this-geometry-problem-to-an-8th-grader
Anastasiya-Romanova 秀,133248,"Closed form of $\mathscr{R}=\int_0^{\pi/2}\sin^2x\,\ln\big(\sin^2(\tan x)\big)\,\,dx$",04-11-2014 17:14,https://math.stackexchange.com/questions/1006127/closed-form-of-mathscrr-int-0-pi-2-sin2x-ln-big-sin2-tan-x-big
Anastasiya-Romanova 秀,133248,The Integral of Multiple Tangent Functions,04-11-2014 11:54,https://math.stackexchange.com/questions/1005740/the-integral-of-multiple-tangent-functions
Anastasiya-Romanova 秀,133248,A combination integral and series resulting the inverse tangent integral,02-11-2014 21:34,https://math.stackexchange.com/questions/1003213/a-combination-integral-and-series-resulting-the-inverse-tangent-integral
Anastasiya-Romanova 秀,133248,"Closed form of $\displaystyle\int_{0}^{\pi/4}\int_{\pi/2}^{\pi}\frac{(\cos x-\sin x)^{y-2}}{(\cos x+\sin x)^{y+2}}\, dy\, dx$",01-11-2014 22:57,https://math.stackexchange.com/questions/1001785/closed-form-of-displaystyle-int-0-pi-4-int-pi-2-pi-frac-cos-x-si
Anastasiya-Romanova 秀,133248,"Show $\int_0^\infty f\left(x+\frac{1}{x}\right)\,\frac{\ln x}{x}\,dx=0$ if $f(x)$ is a bounded non-negative function",01-11-2014 18:27,https://math.stackexchange.com/questions/1001430/show-int-0-infty-f-leftx-frac1x-right-frac-ln-xx-dx-0-if-fx
Anastasiya-Romanova 秀,133248,"Prove $\int_0^1\frac{\ln2-\ln\left(1+x^2\right)}{1-x}\,dx=\frac{5\pi^2}{48}-\frac{\ln^22}{4}$",01-11-2014 14:54,https://math.stackexchange.com/questions/1001269/prove-int-01-frac-ln2-ln-left1x2-right1-x-dx-frac5-pi248-fra
Anastasiya-Romanova 秀,133248,"Evaluating $\int_0^{\frac{\pi}{2}}\ln\left(\frac{\ln^2\sin\theta}{\pi^2+\ln^2\sin\theta}\right)\,\frac{\ln\cos\theta}{\tan\theta}\,d\theta$",22-10-2014 11:25,https://math.stackexchange.com/questions/985686/evaluating-int-0-frac-pi2-ln-left-frac-ln2-sin-theta-pi2-ln2-si
Anastasiya-Romanova 秀,133248,Evaluating $\int_0^\infty \frac{dx}{\sqrt{x}[x^2+(1+2\sqrt{2})x+1][1-x+x^2-x^3+...+x^{50}]}$,17-10-2014 17:50,https://math.stackexchange.com/questions/978560/evaluating-int-0-infty-fracdx-sqrtxx212-sqrt2x11-xx2-x3
Anastasiya-Romanova 秀,133248,"Prove $\int_{0}^{\pi/2} x\csc^2(x)\arctan \left(\alpha \tan x\right)\, dx = \frac{\pi}{2}\left[\ln\frac{(1+\alpha)^{1+\alpha}}{\alpha^\alpha}\right]$",16-10-2014 13:41,https://math.stackexchange.com/questions/976608/prove-int-0-pi-2-x-csc2x-arctan-left-alpha-tan-x-right-dx-fra
Anastasiya-Romanova 秀,133248,Can we consider a hypergeometric function as a closed-form?,15-10-2014 11:08,https://math.stackexchange.com/questions/974809/can-we-consider-a-hypergeometric-function-as-a-closed-form
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^1 \frac{{\rm{Li}}_2(x)\ln(1-x)\ln^2(x)}{x} \,dx=-\frac{\zeta(6)}{3}$",12-10-2014 13:02,https://math.stackexchange.com/questions/970106/prove-that-int-01-frac-rmli-2x-ln1-x-ln2xx-dx-frac-zeta
Anastasiya-Romanova 秀,133248,"Closed-form of $\sum_{n=1}^\infty\frac{(-1)^{n+1}}{n}\Psi_3(n+1)=-\int_0^1\frac{\ln(1+x)\ln^3 x}{1-x}\,dx$",17-09-2014 12:43,https://math.stackexchange.com/questions/934981/closed-form-of-sum-n-1-infty-frac-1n1n-psi-3n1-int-01-frac
Anastasiya-Romanova 秀,133248,Integral of Combination Log and Inverse Trig Function,11-09-2014 10:21,https://math.stackexchange.com/questions/927427/integral-of-combination-log-and-inverse-trig-function
Anastasiya-Romanova 秀,133248,Proving $\sum_{k=1}^{\infty}\frac{\sin kx}{x}=\frac{\pi-x}{2}$ for $0\le x\le 2\pi$,10-09-2014 10:29,https://math.stackexchange.com/questions/926123/proving-sum-k-1-infty-frac-sin-kxx-frac-pi-x2-for-0-le-x-le-2
Anastasiya-Romanova 秀,133248,"Looking for closed-forms of $\int_0^{\pi/4}\ln^2(\sin x)\,dx$ and $\int_0^{\pi/4}\ln^2(\cos x)\,dx$",02-09-2014 15:45,https://math.stackexchange.com/questions/917154/looking-for-closed-forms-of-int-0-pi-4-ln2-sin-x-dx-and-int-0-pi-4
Anastasiya-Romanova 秀,133248,A closed-form of product the gamma functions containing $\pi$ and $\phi$,02-09-2014 09:29,https://math.stackexchange.com/questions/916853/a-closed-form-of-product-the-gamma-functions-containing-pi-and-phi
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^{\pi/2}\ln^2(\cos x)\,dx=\frac{\pi}{2}\ln^2 2+\frac{\pi^3}{24}$",01-09-2014 16:27,https://math.stackexchange.com/questions/916085/prove-that-int-0-pi-2-ln2-cos-x-dx-frac-pi2-ln2-2-frac-pi324
Anastasiya-Romanova 秀,133248,"Prove $\int_{0}^{\pi/2} \ln \left(x^{2} + (\ln\cos x)^2 \right) \, dx=\pi\ln\ln2 $",31-08-2014 18:58,https://math.stackexchange.com/questions/915175/prove-int-0-pi-2-ln-leftx2-ln-cos-x2-right-dx-pi-ln-ln2
