title,Username,question_id,Answer Post Date (Cleo),Question Post Date
"Calculating $\int_{\pi/2}^{\pi}\frac{x\sin{x}}{5-4\cos{x}}\,\mathrm dx$",YMJou,https://math.stackexchange.com/questions/418134,26-11-2013 20:00,12-06-2013 06:00
"Integral $\int_0^\infty\frac{1}{x\,\sqrt{2}+\sqrt{2\,x^2+1}}\cdot\frac{\log x}{\sqrt{x^2+1}}\mathrm dx$",X.C.,https://math.stackexchange.com/questions/554624,12-11-2013 19:30,06-11-2013 18:11
"Integral $\int_0^\infty\frac{\operatorname{arccot}\left(\sqrt{x}-2\,\sqrt{x+1}\right)}{x+1}\mathrm dx$",Laila Podlesny,https://math.stackexchange.com/questions/557439,09-11-2013 18:34,08-11-2013 23:36
"Integral $\int_{-1}^1\frac1x\sqrt{\frac{1+x}{1-x}}\ln\left(\frac{2\,x^2+2\,x+1}{2\,x^2-2\,x+1}\right) \mathrm dx$",Laila Podlesny,https://math.stackexchange.com/questions/562694,11-11-2013 21:43,11-11-2013 17:07
Integral $\int_0^{\pi/2}\arctan^2\left(\frac{6\sin x}{3+\cos 2x}\right)\mathrm dx$,Laila Podlesny,https://math.stackexchange.com/questions/564816,17-11-2013 19:27,13-11-2013 01:37
"Closed form for $\int_0^1\sqrt{\frac{2-x}{(1-x)\,x}}\,\log\left(\frac{(2-x)\,x}{1-x}\right)dx$",Liu Jin Tsai,https://math.stackexchange.com/questions/566513,14-11-2013 17:54,14-11-2013 08:02
"Integral $\int_0^1\frac{\ln\left(x+\sqrt2\right)}{\sqrt{2-x}\,\sqrt{1-x}\,\sqrt{\vphantom{1}x}}\mathrm dx$",Frida Mauer,https://math.stackexchange.com/questions/570997,17-11-2013 22:54,17-11-2013 21:42
"Closed form for $\int_0^\infty\frac{\sin x\,\cdot\,\operatorname{Ci}x-\cos x\,\cdot\,\operatorname{Si}x}{\sqrt{16\,x^2+1}}dx$",Marty Colos,https://math.stackexchange.com/questions/572859,19-11-2013 18:19,19-11-2013 06:02
"A closed form for $\int_0^1{_2F_1}\left(-\frac{1}{4},\frac{5}{4};\,1;\,\frac{x}{2}\right)^2dx$",Piotr Shatalin,https://math.stackexchange.com/questions/576304,21-11-2013 21:59,21-11-2013 19:00
"Integral $\int_0^\infty\frac{\ln\left(1+x+\sqrt{x^2+2\,x}\right)\,\ln\left(1+\sqrt{x^2+2\,x+2}\right)}{x^2+2x+1}dx$",X.C.,https://math.stackexchange.com/questions/577704,23-11-2013 02:03,22-11-2013 23:55
Derivative of the Meijer G-function with respect to one of its parameters,Vladimir Reshetnikov,https://math.stackexchange.com/questions/577849,23-11-2013 20:47,23-11-2013 04:32
"Integral $\int_0^\infty\frac{\ln\left(\sqrt{x+1\vphantom{x^0}}-1\right)\,\ln\left(\sqrt{x^{-1}+1}+1\right)}{(x+1)^{3/2}}dx$",X.C.,https://math.stackexchange.com/questions/578605,24-11-2013 19:00,23-11-2013 22:33
"Integral $\int_0^\infty x^2\,e^{-x^2}\operatorname{erf}(x)\,\log(x)\,dx$",Piotr Shatalin,https://math.stackexchange.com/questions/581215,26-11-2013 18:25,25-11-2013 23:17
Integral $\int_0^1\frac{\log(1-x)}{\sqrt{x-x^3}}dx$,Marty Colos,https://math.stackexchange.com/questions/702681,07-03-2014 17:26,07-03-2014 05:19
"Integral $\int_0^\infty F(x)\,F\left(x\,\sqrt2\right)\frac{e^{-x^2}}{x^2} \, dx$ involving Dawson&#39;s function",TauMu,https://math.stackexchange.com/questions/704917,09-03-2014 21:36,09-03-2014 04:39
Integral $\int_0^1\frac{\ln x}{x-1}\ln\left(1+\frac1{\ln^2x}\right)dx$,Nik Z.,https://math.stackexchange.com/questions/710175,14-03-2014 04:53,13-03-2014 00:19
"Crazy $\int_0^\infty{_3F_2}\left(\begin{array}c\tfrac58,\tfrac58,\tfrac98\\\tfrac12,\tfrac{13}8\end{array}\middle|\ {-x}\right)^2\frac{dx}{\sqrt x}$",Zakharia Stanley,https://math.stackexchange.com/questions/712798,15-03-2014 19:42,15-03-2014 02:45
