,Username,time_difference,question_id,Is Similar User?
0,YMJou,167 days 14:00:00,https://math.stackexchange.com/questions/418134,True
1,X.C.,6 days 01:19:00,https://math.stackexchange.com/questions/554624,True
2,Laila Podlesny,0 days 18:58:00,https://math.stackexchange.com/questions/557439,True
3,Laila Podlesny,0 days 04:36:00,https://math.stackexchange.com/questions/562694,True
4,Laila Podlesny,4 days 17:50:00,https://math.stackexchange.com/questions/564816,True
5,Liu Jin Tsai,0 days 09:52:00,https://math.stackexchange.com/questions/566513,True
6,Frida Mauer,0 days 01:12:00,https://math.stackexchange.com/questions/570997,False
7,Marty Colos,0 days 12:17:00,https://math.stackexchange.com/questions/572859,True
8,Piotr Shatalin,0 days 02:59:00,https://math.stackexchange.com/questions/576304,True
9,X.C.,0 days 02:08:00,https://math.stackexchange.com/questions/577704,True
10,Vladimir Reshetnikov,0 days 16:15:00,https://math.stackexchange.com/questions/577849,False
11,X.C.,0 days 20:27:00,https://math.stackexchange.com/questions/578605,True
12,Piotr Shatalin,0 days 19:08:00,https://math.stackexchange.com/questions/581215,True
13,Marty Colos,0 days 12:07:00,https://math.stackexchange.com/questions/702681,True
14,TauMu,0 days 16:57:00,https://math.stackexchange.com/questions/704917,True
15,Nik Z.,1 days 04:34:00,https://math.stackexchange.com/questions/710175,True
16,Zakharia Stanley,0 days 16:57:00,https://math.stackexchange.com/questions/712798,True
17,Vladimir Reshetnikov,198 days 07:58:00,https://math.stackexchange.com/questions/714628,False
18,user1001001,0 days 08:01:00,https://math.stackexchange.com/questions/904320,False
19,Laila Podlesny,0 days 02:40:00,https://math.stackexchange.com/questions/905653,True
20,Oksana Gimmel,0 days 06:55:00,https://math.stackexchange.com/questions/908108,True
21,OlegK,0 days 03:27:00,https://math.stackexchange.com/questions/909228,True
22,Lucian,2 days 02:05:00,https://math.stackexchange.com/questions/918680,False
23,Vladimir Reshetnikov,0 days 19:53:00,https://math.stackexchange.com/questions/918821,False
24,Anastasiya-Romanova 秀,1 days 12:42:00,https://math.stackexchange.com/questions/927427,False
25,Tunk-Fey,1 days 05:12:00,https://math.stackexchange.com/questions/930011,False
26,Oksana Gimmel,4 days 04:46:00,https://math.stackexchange.com/questions/935366,True
27,Piotr Shatalin,0 days 02:33:00,https://math.stackexchange.com/questions/964438,True
28,OlegK,0 days 03:10:00,https://math.stackexchange.com/questions/967398,True
29,xuce1234,0 days 06:02:00,https://math.stackexchange.com/questions/970125,False
30,user178256,7 days 06:44:00,https://math.stackexchange.com/questions/1142705,False
31,Laila Podlesny,0 days 01:05:00,https://math.stackexchange.com/questions/1150822,True
32,user178256,0 days 05:41:00,https://math.stackexchange.com/questions/1153708,False
33,Vladimir Reshetnikov,0 days 05:22:00,https://math.stackexchange.com/questions/1279165,False
34,OlegK,0 days 01:54:00,https://math.stackexchange.com/questions/1372767,True
35,Laila Podlesny,7 days 18:32:00,https://math.stackexchange.com/questions/1376159,True
36,Liu Jin Tsai,0 days 01:07:00,https://math.stackexchange.com/questions/1550806,True
37,X.C.,0 days 01:23:00,https://math.stackexchange.com/questions/1588996,True
38,Oksana Gimmel,0 days 01:32:00,https://math.stackexchange.com/questions/1595389,True
