Username,ID,answer_id,Post Date,question_id
Anastasiya-Romanova 秀,133248,4589727,02-12-2022 06:48,4589716
Anastasiya-Romanova 秀,133248,4577839,16-11-2022 11:22,4577816
Anastasiya-Romanova 秀,133248,2656469,19-02-2018 04:27,2656432
Anastasiya-Romanova 秀,133248,2517937,13-11-2017 08:23,2517626
Anastasiya-Romanova 秀,133248,2449868,29-09-2017 02:36,2448628
Anastasiya-Romanova 秀,133248,2430132,15-09-2017 04:00,2429872
Anastasiya-Romanova 秀,133248,2395332,16-08-2017 08:32,2394836
Anastasiya-Romanova 秀,133248,2084552,05-01-2017 10:55,2084429
Anastasiya-Romanova 秀,133248,1909205,31-08-2016 01:53,1908446
Anastasiya-Romanova 秀,133248,1863945,19-07-2016 05:26,1863415
Anastasiya-Romanova 秀,133248,1863937,19-07-2016 05:12,1863287
Anastasiya-Romanova 秀,133248,1841426,27-06-2016 14:33,1839938
Anastasiya-Romanova 秀,133248,1835850,22-06-2016 14:33,1803666
Anastasiya-Romanova 秀,133248,1835845,22-06-2016 14:29,1798467
Anastasiya-Romanova 秀,133248,1835652,22-06-2016 11:47,288049
Anastasiya-Romanova 秀,133248,1055698,07-12-2014 14:08,1054719
Anastasiya-Romanova 秀,133248,1048142,02-12-2014 13:10,1048132
Anastasiya-Romanova 秀,133248,1040116,26-11-2014 20:04,1021647
Anastasiya-Romanova 秀,133248,1038407,25-11-2014 16:56,1038263
Anastasiya-Romanova 秀,133248,1036640,24-11-2014 14:01,776812
Anastasiya-Romanova 秀,133248,1034836,23-11-2014 09:44,1032483
Anastasiya-Romanova 秀,133248,1034806,23-11-2014 08:56,1034156
Anastasiya-Romanova 秀,133248,1014962,10-11-2014 12:52,309954
Anastasiya-Romanova 秀,133248,1013395,09-11-2014 14:56,1013351
Anastasiya-Romanova 秀,133248,1012292,08-11-2014 18:19,1012093
Anastasiya-Romanova 秀,133248,1006076,04-11-2014 16:38,1005976
Anastasiya-Romanova 秀,133248,1002697,02-11-2014 15:48,1000140
Anastasiya-Romanova 秀,133248,1001228,01-11-2014 14:05,1001160
Anastasiya-Romanova 秀,133248,1000376,31-10-2014 20:23,1000349
Anastasiya-Romanova 秀,133248,998711,30-10-2014 18:46,997462
Anastasiya-Romanova 秀,133248,998500,30-10-2014 16:36,998296
Anastasiya-Romanova 秀,133248,995501,28-10-2014 19:46,995452
Anastasiya-Romanova 秀,133248,995449,28-10-2014 19:08,992100
Anastasiya-Romanova 秀,133248,995022,28-10-2014 14:25,994961
Anastasiya-Romanova 秀,133248,989440,24-10-2014 18:42,989335
Anastasiya-Romanova 秀,133248,989206,24-10-2014 15:08,989021
Anastasiya-Romanova 秀,133248,985865,22-10-2014 13:58,985837
Anastasiya-Romanova 秀,133248,984433,21-10-2014 16:13,984026
Anastasiya-Romanova 秀,133248,984109,21-10-2014 11:33,983985
Anastasiya-Romanova 秀,133248,984094,21-10-2014 11:09,984044
Anastasiya-Romanova 秀,133248,982962,20-10-2014 18:23,982899
Anastasiya-Romanova 秀,133248,982385,20-10-2014 12:06,980961
Anastasiya-Romanova 秀,133248,981360,19-10-2014 19:13,749493
Anastasiya-Romanova 秀,133248,980752,19-10-2014 11:48,980728
Anastasiya-Romanova 秀,133248,980722,19-10-2014 11:15,980593
Anastasiya-Romanova 秀,133248,973175,14-10-2014 11:42,930776
Anastasiya-Romanova 秀,133248,972900,14-10-2014 06:17,971997
Anastasiya-Romanova 秀,133248,969909,12-10-2014 09:43,969684
Anastasiya-Romanova 秀,133248,967731,11-10-2014 09:50,942263
Anastasiya-Romanova 秀,133248,963859,08-10-2014 15:03,743272
Anastasiya-Romanova 秀,133248,963490,08-10-2014 09:04,457231
Anastasiya-Romanova 秀,133248,960776,06-10-2014 13:50,960773
Anastasiya-Romanova 秀,133248,960752,06-10-2014 13:30,960747
Anastasiya-Romanova 秀,133248,959374,05-10-2014 15:24,958679
Anastasiya-Romanova 秀,133248,955655,02-10-2014 16:11,952371
Anastasiya-Romanova 秀,133248,955345,02-10-2014 11:06,955294
Anastasiya-Romanova 秀,133248,955334,02-10-2014 10:53,928117
Anastasiya-Romanova 秀,133248,955210,02-10-2014 08:50,955190
Anastasiya-Romanova 秀,133248,953748,01-10-2014 08:21,950712
Anastasiya-Romanova 秀,133248,953706,01-10-2014 07:36,953691
Anastasiya-Romanova 秀,133248,950933,29-09-2014 11:34,950398
Anastasiya-Romanova 秀,133248,946722,26-09-2014 08:46,942379
Anastasiya-Romanova 秀,133248,941607,22-09-2014 14:07,941570
Anastasiya-Romanova 秀,133248,941496,22-09-2014 12:37,930011
Anastasiya-Romanova 秀,133248,940134,21-09-2014 12:20,940037
Anastasiya-Romanova 秀,133248,938103,19-09-2014 17:40,408270
Anastasiya-Romanova 秀,133248,937560,19-09-2014 07:52,937554
Anastasiya-Romanova 秀,133248,936448,18-09-2014 12:44,936436
Anastasiya-Romanova 秀,133248,928577,12-09-2014 10:11,927656
Anastasiya-Romanova 秀,133248,916149,01-09-2014 17:32,916085
Anastasiya-Romanova 秀,133248,904171,20-08-2014 15:39,268789
Anastasiya-Romanova 秀,133248,818233,02-06-2014 15:04,818225
Anastasiya-Romanova 秀,133248,818196,02-06-2014 14:10,818170
Anastasiya-Romanova 秀,133248,818142,02-06-2014 13:33,818094
Anastasiya-Romanova 秀,133248,814736,30-05-2014 10:44,691798
Anastasiya-Romanova 秀,133248,803957,21-05-2014 11:06,803954
Anastasiya-Romanova 秀,133248,800232,18-05-2014 12:07,800219
Anastasiya-Romanova 秀,133248,795500,15-05-2014 05:06,795460
Anastasiya-Romanova 秀,133248,784001,06-05-2014 18:51,783333
Anastasiya-Romanova 秀,133248,778657,02-05-2014 17:47,778637
Anastasiya-Romanova 秀,133248,777300,01-05-2014 17:29,777284
Anastasiya-Romanova 秀,133248,777262,01-05-2014 17:05,777191
Anastasiya-Romanova 秀,133248,777217,01-05-2014 16:42,777178
Anastasiya-Romanova 秀,133248,777198,01-05-2014 16:28,777186
Anastasiya-Romanova 秀,133248,776791,01-05-2014 08:49,776680
Anastasiya-Romanova 秀,133248,774325,29-04-2014 15:21,763364
Anastasiya-Romanova 秀,133248,772815,28-04-2014 14:07,772780
Anastasiya-Romanova 秀,133248,772783,28-04-2014 13:38,772517
Anastasiya-Romanova 秀,133248,771175,27-04-2014 10:28,771116
Anastasiya-Romanova 秀,133248,771114,27-04-2014 09:06,771091
Anastasiya-Romanova 秀,133248,771064,27-04-2014 07:55,770792
Anastasiya-Romanova 秀,133248,770557,26-04-2014 20:58,770391
Anastasiya-Romanova 秀,133248,770375,26-04-2014 18:37,770356
Anastasiya-Romanova 秀,133248,770278,26-04-2014 17:22,770259
Anastasiya-Romanova 秀,133248,770255,26-04-2014 16:54,770220
Anastasiya-Romanova 秀,133248,767626,24-04-2014 17:18,767516
Anastasiya-Romanova 秀,133248,767493,24-04-2014 15:53,767463
Anastasiya-Romanova 秀,133248,767283,24-04-2014 12:54,766733
Anastasiya-Romanova 秀,133248,765761,23-04-2014 10:30,765748
Anastasiya-Romanova 秀,133248,765731,23-04-2014 09:47,765613
Anastasiya-Romanova 秀,133248,764565,22-04-2014 15:34,764557
Anastasiya-Romanova 秀,133248,764485,22-04-2014 14:12,764468
Anastasiya-Romanova 秀,133248,764387,22-04-2014 12:43,764365
Anastasiya-Romanova 秀,133248,764336,22-04-2014 11:32,764324
Anastasiya-Romanova 秀,133248,764304,22-04-2014 10:47,764296
Anastasiya-Romanova 秀,133248,764246,22-04-2014 09:23,763983
Anastasiya-Romanova 秀,133248,763395,21-04-2014 18:05,763320
Anastasiya-Romanova 秀,133248,763318,21-04-2014 17:23,763299
Anastasiya-Romanova 秀,133248,763245,21-04-2014 16:44,763231
Anastasiya-Romanova 秀,133248,763201,21-04-2014 16:27,763186
Anastasiya-Romanova 秀,133248,763154,21-04-2014 15:51,763128
Anastasiya-Romanova 秀,133248,763080,21-04-2014 14:58,763055
Anastasiya-Romanova 秀,133248,761958,20-04-2014 17:16,761947
Anastasiya-Romanova 秀,133248,761894,20-04-2014 16:24,761882
Anastasiya-Romanova 秀,133248,761751,20-04-2014 13:50,761738
Anastasiya-Romanova 秀,133248,761715,20-04-2014 13:19,761707
Anastasiya-Romanova 秀,133248,761668,20-04-2014 12:26,761637
Anastasiya-Romanova 秀,133248,761634,20-04-2014 11:38,761616
Anastasiya-Romanova 秀,133248,761596,20-04-2014 10:54,761542
Anastasiya-Romanova 秀,133248,761564,20-04-2014 10:15,761539
Anastasiya-Romanova 秀,133248,761503,20-04-2014 09:12,761484
Anastasiya-Romanova 秀,133248,760875,19-04-2014 19:48,760831
